Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
94,Champions League,0910,Quarterfinal,Bayern Munich,Manchester United,2.82,3.31,2.74,4.9994182,2,1,1,1,Manchester United,Bayern Munich,1.79,4.03,4.8,-171.3552826,3,2,1,1
95,Champions League,0910,Quarterfinal,Inter,CSKA Moscow,1.44,4.59,9.5,-327.7444453,1,0,1,1,CSKA Moscow,Inter,3.43,3.38,2.29,70.18345508,0,1,2,-1
96,Champions League,0910,Quarterfinal,Arsenal,Barcelona,3.22,3.48,2.37,53.24301027,2,2,X,0,Barcelona,Arsenal,1.37,5.6,8.9,-325.0677758,4,1,1,3
97,Champions League,0910,1/8-final,Lyon,Real Madrid,4.2,3.48,2.02,127.1591684,1,0,1,1,Real Madrid,Lyon,1.3,6.13,11.2,-374.1098681,1,1,X,0
98,Champions League,0910,1/8-final,AC Milan,Manchester United,3.11,3.11,2.65,27.80580604,2,3,2,-1,Manchester United,AC Milan,1.71,3.92,5.35,-198.1430687,4,0,1,4
99,Champions League,0910,1/8-final,FC Porto,Arsenal,2.34,3.25,3.53,-71.42353919,2,1,1,1,Arsenal,FC Porto,1.62,4.16,6.06,-229.1830438,5,0,1,5
100,Champions League,0910,1/8-final,Bayern Munich,Fiorentina,1.42,4.69,9.8,-335.5750925,2,1,1,1,Fiorentina,Bayern Munich,3.05,3.51,2.45,38.05350199,3,2,1,1
101,Champions League,0910,1/8-final,VfB Stuttgart,Barcelona,6.08,4.05,1.65,226.567854,1,1,X,0,Barcelona,VfB Stuttgart,1.23,7.1,15.9,-444.5968052,4,0,1,4
102,Champions League,0910,1/8-final,Olympiakos Piraeus,Bordeaux,3.14,3.16,2.59,33.4519536,0,1,2,-1,Bordeaux,Olympiakos Piraeus,1.55,4.23,7.12,-264.8593182,2,1,1,1
103,Champions League,0910,1/8-final,CSKA Moscow,Sevilla,2.65,3.16,3.07,-25.55700062,1,1,X,0,Sevilla,CSKA Moscow,1.6,4.07,6.8,-251.355572,1,2,2,-1
104,Champions League,0910,1/8-final,Inter,Chelsea,2.64,3.15,3.09,-27.34182102,2,1,1,1,Chelsea,Inter,1.63,4.2,5.91,-223.7599506,0,1,2,-1
105,Champions League,0809,Semifinal,Barcelona,Chelsea,1.72,3.87,5.6,-205.063832,0,0,X,0,Chelsea,Barcelona,2.7,3.59,2.69,0.644593663,1,1,X,0
106,Champions League,0809,Semifinal,Manchester United,Arsenal,1.79,3.68,5.42,-192.4585022,1,0,1,1,Arsenal,Manchester United,2.77,3.52,2.67,6.38740308,1,3,2,-2
107,Champions League,0809,Quarterfinal,Villarreal,Arsenal,3.2,3.19,2.52,41.49977502,1,1,X,0,Arsenal,Villarreal,1.47,4.34,8.69,-308.6809767,3,0,1,3
108,Champions League,0809,Quarterfinal,Manchester United,FC Porto,1.44,4.48,9.75,-332.2568494,2,2,X,0,FC Porto,Manchester United,3.59,3.5,2.19,85.8601335,0,1,2,-1
109,Champions League,0809,Quarterfinal,Liverpool,Chelsea,2.24,3.04,4.12,-105.8596791,1,3,2,-2,Chelsea,Liverpool,2.37,3.39,3.25,-54.85400599,4,4,X,0
110,Champions League,0809,1/8-final,Lyon,Barcelona,3.94,3.5,2.08,110.9731547,1,1,X,0,Barcelona,Lyon,1.41,4.8,10.7,-352.065866,5,2,1,3
111,Champions League,0809,1/8-final,Inter,Manchester United,2.52,3.12,3.23,-43.12079262,0,0,X,0,Manchester United,Inter,1.66,3.9,6.7,-242.3866859,2,0,1,2
112,Champions League,0809,1/8-final,Atl. Madrid,FC Porto,2.21,3.25,3.76,-92.3182285,2,2,X,0,FC Porto,Atl. Madrid,2.13,3.58,3.72,-96.86533458,0,0,X,0
113,Champions League,0809,1/8-final,Arsenal,AS Roma,2.02,3.27,4.59,-142.5845264,1,0,1,1,AS Roma,Arsenal,2.64,3.41,2.88,-15.11542436,1,0,1,1
114,Champions League,0809,1/8-final,Villarreal,Panathinaikos,1.74,3.78,5.63,-203.9836586,1,1,X,0,Panathinaikos,Villarreal,2.66,3.29,2.94,-17.38627751,2,2,X,0
115,Champions League,0809,1/8-final,Real Madrid,Liverpool,2.04,3.28,4.55,-139.3524917,0,1,2,-1,Liverpool,Real Madrid,2.27,3.24,3.65,-82.50680291,4,0,1,4
116,Champions League,0809,1/8-final,Chelsea,Juventus,1.79,3.39,6.32,-219.1456189,1,0,1,1,Juventus,Chelsea,2.79,3.19,2.87,-4.911077384,2,2,X,0
117,Europa League ,1617,Semifinal,Ajax,Lyon,2.2,3.64,3.45,-78.1585657,4,1,1,3,Lyon,Ajax,1.83,4.49,4,-135.8435606,3,1,1,2
118,Europa League ,1617,Semifinal,Celta Vigo,Manchester United,3.48,3.16,2.4,64.54720089,0,1,2,-1,Manchester United,Celta Vigo,1.59,4.01,7.13,-260.6769622,1,1,X,0
119,Europa League ,1617,Quarterfinal,Lyon,Besiktas,1.43,5.03,8.01,-299.3185914,2,1,1,1,Besiktas,Lyon,2.79,3.77,2.52,17.681465,2,1,1,1
120,Europa League ,1617,Quarterfinal,Celta Vigo,Genk,1.63,3.96,6.24,-233.1987941,3,2,1,1,Genk,Celta Vigo,2.55,3.72,2.78,-15.00184619,1,1,X,0
121,Europa League ,1617,Quarterfinal,Anderlecht,Manchester United,5.38,3.84,1.73,197.094469,1,1,X,0,Manchester United,Anderlecht,1.26,6.31,14.28,-421.7430649,1,1,X,0
122,Europa League ,1617,Quarterfinal,Ajax,Schalke,2.33,3.45,3.28,-59.40716907,2,0,1,2,Schalke,Ajax,2.19,3.91,3.24,-68.04035815,2,0,1,2
123,Europa League ,1617,1/8-final,FK Rostov,Manchester United,5.33,3.53,1.81,187.6194537,1,1,X,0,Manchester United,FK Rostov,1.24,6.25,17.95,-464.2571071,1,0,1,1
124,Europa League ,1617,1/8-final,FC Copenhagen,Ajax,2.26,3.17,3.76,-88.43176231,2,1,1,1,Ajax,FC Copenhagen,1.83,3.76,4.66,-162.3739308,2,0,1,2
125,Europa League ,1617,1/8-final,APOEL ,Anderlecht,3.39,3.3,2.34,64.39353632,0,1,2,-1,Anderlecht,APOEL ,1.43,5.2,7.52,-288.3527213,1,0,1,1
126,Europa League ,1617,1/8-final,Schalke,B. Monchengladbach,2.48,3.27,3.17,-42.64303256,1,1,X,0,B. Monchengladbach,Schalke,2.4,3.37,3.2,-49.97549464,2,2,X,0
127,Europa League ,1617,1/8-final,Olympiakos Piraeus,Besiktas,2.49,3.15,3.26,-46.80730119,1,1,X,0,Besiktas,Olympiakos Piraeus,1.73,3.7,5.66,-205.9081312,4,1,1,3
128,Europa League ,1617,1/8-final,Lyon,AS Roma,2.23,3.62,3.34,-70.17664151,4,2,1,2,AS Roma,Lyon,1.72,4.4,4.63,-172.0210176,2,1,1,1
129,Europa League ,1617,1/8-final,Gent ,Genk,2.18,3.2,3.95,-103.2562408,2,5,2,-3,Genk,Gent ,2.04,3.95,3.55,-96.23927425,1,1,X,0
130,Europa League ,1617,1/8-final,Celta Vigo,Krasnodar,1.56,4.03,7.38,-269.9727054,2,1,1,1,Krasnodar,Celta Vigo,2.72,3.33,2.79,-4.414119696,0,2,2,-2
131,Europa League ,1516,Semifinal,Villarreal,Liverpool,2.63,3.11,3.13,-30.23543562,1,0,1,1,Liverpool,Villarreal,1.66,4.17,5.66,-213.0833373,3,0,1,3
132,Europa League ,1516,Semifinal,Shakhtar Donetsk,Sevilla,2.76,3.31,2.81,-3.118895136,2,2,X,0,Sevilla,Shakhtar Donetsk,1.63,4.29,5.75,-218.9920961,3,1,1,2
133,Europa League ,1516,Quarterfinal,Villarreal,Sparta Prague,1.49,4.39,8.17,-295.6143152,2,1,1,1,Sparta Prague,Villarreal,3.76,3.53,2.12,99.5407936,2,4,2,-2
